latitude,longitude,time
-35.49685,150.09653,2019-11-27 0412
-35.494040000000005,150.16762,2019-11-27 0412
-35.54521,150.16653,2019-11-27 0412
-35.49714,150.17311,2019-11-27 0412
-35.49801,150.16893000000002,2019-11-27 0412
-35.51873,150.17141999999998,2019-11-27 0412
-35.51383,150.17455,2019-11-27 0412
-35.5227,150.17278000000002,2019-11-27 0412
-35.493179999999995,150.17171000000002,2019-11-27 0412
-35.49147,150.08145,2019-11-27 0412
-35.544309999999996,150.17087,2019-11-27 0412
-35.496590000000005,150.15543,2019-11-27 0412
-35.4963,150.09613000000002,2019-11-27 0412
-35.54032,150.16963,2019-11-27 0412
-35.50867,150.07738999999998,2019-11-27 0412
-35.48749,150.08023,2019-11-27 0412
-35.39691,149.55658,2019-11-27 0412
-35.39235,149.54648999999998,2019-11-27 0412
-35.53546,150.17265,2019-11-27 0412
-35.505959999999995,150.09035,2019-11-27 0412
-35.394259999999996,149.54939,2019-11-27 0412
-35.53723,150.16409,2019-11-27 0412
-35.38185,149.53731000000002,2019-11-27 0412
-35.54213,150.16092,2019-11-27 0412
-35.39815,149.57063,2019-11-27 0412
-35.53635,150.16836999999998,2019-11-27 0412
-35.39353,149.54054,2019-11-27 0412
-35.538129999999995,150.15974,2019-11-27 0412
-35.514759999999995,150.17012,2019-11-27 0412
-35.49573,150.15953000000002,2019-11-27 0412
-35.52447,150.16422,2019-11-27 0412
-35.50687,150.08601000000002,2019-11-27 0412
-35.523590000000006,150.16846,2019-11-27 0412
-35.39428,149.56941,2019-11-27 0412
-35.390840000000004,149.53342,2019-11-27 0412
-35.52535,150.15997,2019-11-27 0412
-35.52623,150.15575,2019-11-27 0412
-35.3974,149.54176,2019-11-27 0412
-35.382059999999996,149.55687,2019-11-27 0412
-35.50778,150.08168,2019-11-27 0412
-35.509859999999996,150.17322,2019-11-27 0412
-35.38647,149.56734,2019-11-27 0412
-35.498870000000004,150.16484,2019-11-27 0412
-35.49974,150.16068,2019-11-27 0412
-35.39565,149.56273000000002,2019-11-27 0412
-35.38472,149.56421,2019-11-27 0412
-35.51092,150.08688,2019-11-27 0412
-35.39951,149.564,2019-11-27 0412
-35.396679999999996,149.53755,2019-11-27 0412
-35.37867,149.54512,2019-11-27 0412
-35.39622,149.54766999999998,2019-11-27 0412
-35.39812,149.55064,2019-11-27 0412
-35.388940000000005,149.53517,2019-11-27 0412
-35.51587,150.08344,2019-11-27 0412
-35.51271,150.07832,2019-11-27 0412
-35.52085,150.07985,2019-11-27 0412
-35.39547,149.54346,2019-11-27 0412
-35.39281,149.53635,2019-11-27 0412
-35.383070000000004,149.53118999999998,2019-11-27 0412
-35.386959999999995,149.53226,2019-11-27 0412
-35.48668,150.08423,2019-11-27 0412
-35.39504,149.55366999999998,2019-11-27 0412
-35.38066,149.54326,2019-11-27 0412
-35.489090000000004,150.09309,2019-11-27 0412
-35.49494,150.08237,2019-11-27 0412
-35.52815,150.1057,2019-11-27 0412
-35.50958,150.07306,2019-11-27 0412
-35.38391,149.55971,2019-11-27 0412
-35.49297,150.09482,2019-11-27 0412
-35.52796,150.0863,2019-11-27 0412
-35.52702,150.09082,2019-11-27 0412
-35.49242,150.09444,2019-11-27 0412
-35.49232,150.07726,2019-11-27 0412
-35.51993,150.08426,2019-11-27 0412
-35.38128,149.55248999999998,2019-11-27 0412
-35.390370000000004,149.56839,2019-11-27 0412
-35.501090000000005,150.0934,2019-11-27 0412
-35.49771,150.09225,2019-11-27 0412
-35.501979999999996,150.08914,2019-11-27 0412
-35.485890000000005,150.08803999999998,2019-11-27 0412
-35.37735,149.5515,2019-11-27 0412
-35.52301,150.08975,2019-11-27 0412
-35.394709999999996,149.53461000000001,2019-11-27 0412
-35.498470000000005,150.10593,2019-11-27 0412
-35.4963,150.07848,2019-11-27 0412
-35.50114,150.07541,2019-11-27 0412
-35.51182,150.08258,2019-11-27 0412
-35.39116,149.57323,2019-11-27 0412
-35.37997,149.55879,2019-11-27 0412
-35.38258,149.56618999999998,2019-11-27 0412
-35.53942,150.17401,2019-11-27 0412
-35.38862,149.56526000000002,2019-11-27 0412
-35.385040000000004,149.5341,2019-11-27 0412
